Cenário 3: TESTE CENARIO 3 | Arquivo=cadastrodecemiterios3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0199 | Sev=MEDIUM | Início=26/09/2025 14:19:14 | Erro=cionar Status Ativo concluída.
Cenário 1: Nesse teste, o robô preencherá os todos campos e salvará o cadastro de uma nova Comissão. | Arquivo=cadastrodecomissao1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0207 | Sev=MEDIUM | Início=26/09/2025 14:21:54 | Erro=png
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Comissão. | Arquivo=cadastrodecomissao3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0209 | Sev=MEDIUM | Início=26/09/2025 14:22:48 | Erro=png
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Comissão Campanha, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodecomissaocampanhas3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0212 | Sev=MEDIUM | Início=26/09/2025 14:24:31 | Erro=Formulário de cadastro aberto.
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Concessionária de Energia, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodeconcessionariasdeenergia3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0215 | Sev=MEDIUM | Início=26/09/2025 14:26:18 | Erro=Formulário de cadastro aberto.
Cenário 2: Nesse teste, o robô preencherá todos os dados e cancelará o cadastro de uma nova Conciliação Bancária. | Arquivo=cadastrodeconciliaçaobancaria2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0217 | Sev=MEDIUM | Início=26/09/2025 14:27:43 | Erro=14.png
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de uma nova Escala de Motoristas. | Arquivo=cadastrodeescalamotorista1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0239 | Sev=MEDIUM | Início=26/09/2025 14:48:50 | Erro=da com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de uma nova Especialidade. | Arquivo=cadastrodeespecialidades1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0242 | Sev=MEDIUM | Início=26/09/2025 14:57:16 | Erro=da com sucesso.
Cenário 4: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de um novo Motorista, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodemotoristas4ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0261 | Sev=MEDIUM | Início=26/09/2025 15:11:15 | Erro=sucesso.
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Movimentação Bancária. | Arquivo=cadastrodemovimentaçaobancaria2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0263 | Sev=MEDIUM | Início=26/09/2025 15:12:49 | Erro=Selecionando Centro de Custo...
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Ocorrência, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodeocorrencias3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0276 | Sev=MEDIUM | Início=26/09/2025 15:24:43 | Erro=realizada com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Pacote. | Arquivo=cadastrodepacotes1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0277 | Sev=MEDIUM | Início=26/09/2025 15:25:20 | Erro=elecionando a opção 'Agregado'...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Pacote. | Arquivo=cadastrodepacotes2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0278 | Sev=MEDIUM | Início=26/09/2025 15:28:21 | Erro=elecionando a opção 'Agregado'...
